X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,MU0,MU1,S1,GT
1,120.0,0,11,24,2,1,4,17,20.0,220.0,1,200.0
0,240.0,1,13,45,1,1,3,7,140.0,340.0,1,200.0
1,850.0,1,5,33,1,2,5,3,750.0,950.0,1,200.0
1,800.0,1,9,45,2,2,5,3,700.0,900.0,1,200.0
1,120.0,0,10,43,2,2,4,16,20.0,220.0,1,200.0
1,300.0,1,19,41,1,2,5,7,200.0,400.0,1,200.0
0,180.0,0,10,44,2,2,2,11,80.0,280.0,1,200.0
1,280.0,1,1,45,1,2,5,19,180.0,380.0,1,200.0
1,190.0,0,8,57,1,2,5,8,90.0,290.0,1,200.0
0,150.0,0,11,48,1,2,3,6,50.0,250.0,1,200.0
0,300.0,1,10,48,1,2,3,3,200.0,400.0,1,200.0
0,330.0,1,2,19,2,1,3,7,230.0,430.0,1,200.0
1,250.0,1,10,41,1,3,4,15,150.0,350.0,1,200.0
1,260.0,1,15,33,1,2,4,16,160.0,360.0,1,200.0
1,700.0,1,14,44,1,2,4,15,600.0,800.0,1,200.0
1,300.0,1,8,30,1,2,4,13,200.0,400.0,1,200.0
1,130.0,0,1,38,1,2,5,13,30.0,230.0,1,200.0
0,190.0,0,8,48,1,2,3,15,90.0,290.0,1,200.0
0,70.0,0,9,63,2,3,3,17,-30.0,170.0,1,200.0
1,225.0,1,1,37,1,2,5,14,125.0,325.0,1,200.0
1,500.0,1,8,37,1,2,5,3,400.0,600.0,1,200.0
1,700.0,1,15,39,1,2,5,10,600.0,800.0,1,200.0
1,320.0,1,1,33,1,1,4,3,220.0,420.0,1,200.0
1,450.0,1,15,34,1,2,5,3,350.0,550.0,1,200.0
0,150.0,0,5,33,1,1,3,19,50.0,250.0,1,200.0
1,291.0,1,5,27,1,1,5,3,191.0,391.0,1,200.0
1,300.0,1,2,47,1,2,5,8,200.0,400.0,1,200.0
1,252.0,1,5,32,2,2,5,9,152.0,352.0,1,200.0
1,210.0,1,8,31,1,1,5,15,110.0,310.0,1,200.0
1,310.0,1,14,32,2,2,5,17,210.0,410.0,1,200.0
0,300.0,1,10,20,1,1,3,15,200.0,400.0,1,200.0
0,260.0,1,11,24,2,1,3,3,160.0,360.0,1,200.0
1,300.0,1,3,48,1,2,5,13,200.0,400.0,1,200.0
1,350.0,1,8,30,2,1,5,13,250.0,450.0,1,200.0
1,60.0,0,15,19,2,1,5,17,-40.0,160.0,1,200.0
1,250.0,1,1,25,2,2,5,16,150.0,350.0,1,200.0
1,200.0,0,15,22,2,1,4,13,100.0,300.0,1,200.0
0,95.0,0,13,44,2,2,3,7,-5.0,195.0,1,200.0
0,300.0,1,4,62,1,2,3,6,200.0,400.0,1,200.0
1,350.0,1,6,26,1,1,5,16,250.0,450.0,1,200.0
0,300.0,1,10,37,2,2,3,9,200.0,400.0,1,200.0
1,300.0,1,7,42,1,2,5,16,200.0,400.0,1,200.0
1,200.0,0,1,42,1,1,5,19,100.0,300.0,1,200.0
1,500.0,1,1,33,1,2,5,7,400.0,600.0,1,200.0
1,160.0,0,1,34,1,1,4,7,60.0,260.0,1,200.0
1,150.0,0,1,31,2,1,4,7,50.0,250.0,1,200.0
1,300.0,1,15,37,2,2,4,12,200.0,400.0,1,200.0
1,200.0,0,1,24,2,1,5,3,100.0,300.0,1,200.0
1,300.0,1,3,44,1,1,5,15,200.0,400.0,1,200.0
1,500.0,1,8,29,1,1,5,3,400.0,600.0,1,200.0
0,160.0,0,1,31,1,1,3,18,60.0,260.0,1,200.0
0,100.0,0,11,42,2,2,2,9,0.0,200.0,1,200.0
0,68.0,0,1,73,1,2,3,3,-32.0,168.0,1,200.0
0,175.0,0,14,49,1,2,2,6,75.0,275.0,1,200.0
0,200.0,0,8,55,1,2,2,6,100.0,300.0,1,200.0
0,500.0,1,13,49,1,2,3,3,400.0,600.0,1,200.0
1,230.0,1,4,39,2,1,5,12,130.0,330.0,1,200.0
0,100.0,0,1,45,2,2,2,3,0.0,200.0,1,200.0
0,550.0,1,15,47,1,3,2,3,450.0,650.0,1,200.0
0,100.0,0,11,52,1,2,2,14,0.0,200.0,1,200.0
1,291.0,1,4,25,1,1,5,3,191.0,391.0,1,200.0
1,215.0,1,8,21,1,1,4,7,115.0,315.0,1,200.0
0,120.0,0,5,62,2,2,2,17,20.0,220.0,1,200.0
0,200.0,0,11,35,2,1,3,3,100.0,300.0,1,200.0
0,85.0,0,11,47,2,2,3,3,-15.0,185.0,1,200.0
0,200.0,0,2,41,1,1,3,3,100.0,300.0,1,200.0
1,350.0,1,3,30,1,2,4,14,250.0,450.0,1,200.0
0,480.0,1,8,41,1,1,3,16,380.0,580.0,1,200.0
1,200.0,0,1,34,1,1,5,7,100.0,300.0,1,200.0
0,180.0,0,13,28,1,3,3,7,80.0,280.0,1,200.0
1,175.0,0,2,47,2,2,5,16,75.0,275.0,1,200.0
1,380.0,1,8,47,1,2,4,3,280.0,480.0,1,200.0
1,200.0,0,10,31,1,2,5,1,100.0,300.0,1,200.0
0,200.0,0,8,45,1,2,3,6,100.0,300.0,1,200.0
0,200.0,0,8,35,1,1,2,15,100.0,300.0,1,200.0
0,50.0,0,2,43,2,2,2,3,-50.0,150.0,1,200.0
1,317.0,1,6,35,2,2,5,17,217.0,417.0,1,200.0
0,300.0,1,12,45,2,2,2,11,200.0,400.0,1,200.0
1,180.0,0,1,20,1,1,4,9,80.0,280.0,1,200.0
1,230.0,1,8,26,1,1,5,16,130.0,330.0,1,200.0
1,920.0,1,8,45,1,2,5,10,820.0,1020.0,1,200.0
0,500.0,1,5,40,1,2,3,6,400.0,600.0,1,200.0
1,315.0,1,6,27,2,1,5,3,215.0,415.0,1,200.0
0,430.0,1,8,35,1,2,3,3,330.0,530.0,1,200.0
0,120.0,0,1,44,2,3,3,3,20.0,220.0,1,200.0
0,160.0,0,8,62,1,2,3,6,60.0,260.0,1,200.0
1,20.0,0,1,21,1,1,5,18,-80.0,120.0,1,200.0
0,130.0,0,16,56,2,2,3,17,30.0,230.0,1,200.0
0,400.0,1,14,42,1,2,3,3,300.0,500.0,1,200.0
1,150.0,0,15,29,1,2,4,3,50.0,250.0,1,200.0
0,480.0,1,15,63,2,2,3,15,380.0,580.0,1,200.0
1,80.0,0,12,22,1,1,5,15,-20.0,180.0,1,200.0
1,200.0,0,8,46,2,2,5,16,100.0,300.0,1,200.0
0,350.0,1,1,24,1,1,3,8,250.0,450.0,1,200.0
0,300.0,1,4,56,1,2,3,8,200.0,400.0,1,200.0
1,200.0,0,1,35,1,1,5,18,100.0,300.0,1,200.0
1,300.0,1,1,39,1,2,5,3,200.0,400.0,1,200.0
1,200.0,0,8,47,2,2,5,17,100.0,300.0,1,200.0
0,27.0,0,1,76,1,2,2,16,-73.0,127.0,1,200.0
1,400.0,1,10,39,1,2,5,10,300.0,500.0,1,200.0
1,270.0,1,15,53,1,2,5,12,170.0,370.0,1,200.0
0,265.0,1,5,59,1,3,3,6,165.0,365.0,1,200.0
1,550.0,1,1,47,2,2,5,15,450.0,650.0,1,200.0
0,27.0,0,5,76,2,3,1,15,-73.0,127.0,1,200.0
1,250.0,1,5,32,2,2,5,7,150.0,350.0,1,200.0
0,250.0,1,3,59,2,2,3,3,150.0,350.0,1,200.0
