pid,year,p_region,p_age,p_sex,p_married,p_edu,Ind
11501,2003.9668,0.7890947,9.951331,0.24074262,0.40127832,0.8859628,2.0547905
11504,2003.9668,0.7890918,9.951293,0.24073532,0.40127194,0.8859547,2.0547833
11604,2008.1213,2.1334672,20.19077,0.44083843,0.8445207,1.6598711,4.0982237
11803,2008.1213,2.1334655,20.190756,0.4408287,0.8445128,1.6598687,4.098219
11901,2012.297,3.362268,31.227192,0.6329045,1.3140659,2.4801626,6.040978
11902,2003.9668,0.7890912,9.951303,0.24073729,0.40127176,0.885963,2.0547822
12001,2012.297,3.362266,31.22716,0.63288534,1.3140415,2.4801571,6.0409703
12002,2008.1213,2.1334772,20.190783,0.44082946,0.84452415,1.6598685,4.098223
12003,2008.1213,2.1334648,20.19079,0.4408311,0.8445225,1.6598701,4.09822
12303,2003.9668,0.7890996,9.951346,0.24074304,0.4012763,0.885966,2.0547993
12304,2008.1213,2.133462,20.190779,0.44083327,0.8445127,1.659868,4.0982223
12501,2012.297,3.3622704,31.227234,0.63289887,1.314041,2.4801736,6.0409694
12502,2003.9668,0.7891027,9.951362,0.2407516,0.40129083,0.8859663,2.0548072
12601,2016.4728,4.5911303,42.263615,0.8251163,1.783626,3.3004742,7.9837904
12603,2003.9668,0.7890941,9.951329,0.24074695,0.4012801,0.88596666,2.0547953
12604,2012.297,3.36227,31.227169,0.63290507,1.3140408,2.4801688,6.040967
12803,2008.1213,2.133474,20.190771,0.44083595,0.8445258,1.6598732,4.098222
12804,2016.4728,4.59113,42.26359,0.8251274,1.7836577,3.3004708,7.9837956
12901,2003.9668,0.7890923,9.951307,0.24074492,0.40127373,0.8859662,2.0547845
13001,2003.9668,0.7890959,9.95131,0.2407456,0.4012844,0.88596064,2.0547905
13002,2003.9668,0.78909636,9.951345,0.24074677,0.40127802,0.8859634,2.054802
13004,2003.9668,0.7890998,9.95136,0.24074787,0.40128803,0.8859657,2.0548046
13101,2008.1213,2.1334765,20.190765,0.44082847,0.84451187,1.6598687,4.098223
13102,2012.297,3.3622794,31.227192,0.632898,1.3140407,2.4801712,6.0409703
13103,2016.4728,4.591122,42.263615,0.82510495,1.7836138,3.3004632,7.983795
13104,2003.9668,0.7890973,9.9513235,0.2407403,0.40128046,0.88596225,2.0547955
13203,2008.1213,2.133467,20.19078,0.44083098,0.8445133,1.6598706,4.0982194
13204,2003.9668,0.7890886,9.951305,0.24073839,0.40126872,0.88595945,2.0547836
13301,2016.4728,4.5911136,42.263638,0.82509637,1.7836252,3.3004603,7.983802
13303,2012.297,3.3622744,31.227186,0.6329093,1.3140545,2.4801607,6.040976
13304,2008.1213,2.1334732,20.190796,0.44084135,0.84452915,1.659872,4.0982156
13401,2008.1213,2.1334736,20.190784,0.4408302,0.8445184,1.6598766,4.0982223
13403,2008.1213,2.1334727,20.190777,0.44083506,0.8445219,1.6598725,4.0982175
13404,2003.9668,0.78909457,9.9513235,0.24074501,0.4012859,0.88596165,2.0547936
13501,2008.1213,2.133469,20.19078,0.4408372,0.84452,1.6598697,4.098221
13502,2016.4728,4.591135,42.263588,0.8251215,1.7836429,3.3004658,7.9837966
13601,2012.297,3.36227,31.22718,0.6328898,1.3140236,2.4801688,6.040967
13602,2003.9668,0.78909874,9.951321,0.24074,0.4012782,0.8859629,2.054791
13603,2003.9668,0.7890911,9.951313,0.24073732,0.40127558,0.8859602,2.054787
13604,2008.1213,2.1334753,20.190788,0.44083554,0.84452,1.6598752,4.0982175
13702,2016.4728,4.591121,42.26361,0.82511896,1.7836684,3.300467,7.9837966
13703,2003.9668,0.78909576,9.951331,0.24074027,0.40127772,0.88596356,2.0547953
13704,2003.9668,0.78909147,9.951313,0.2407363,0.401281,0.88596165,2.0547853
13902,2012.297,3.3622591,31.227154,0.6329033,1.3140154,2.4801693,6.0409718
13903,2008.1213,2.1334682,20.190777,0.4408339,0.8445226,1.6598709,4.098221
13904,2003.9668,0.78909206,9.9513,0.2407408,0.40127248,0.8859631,2.054783
14001,2003.9668,0.7890922,9.951302,0.24074551,0.4012723,0.8859627,2.0547824
