year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage
2015,1,26,2,1,5,17,180
2020,1,31,2,1,5,17,250
2020,1,29,2,1,4,17,250
2000,1,27,1,1,2,3,110
2000,1,21,2,1,3,7,53
2005,1,56,2,3,1,9,130
2000,1,28,1,1,4,3,90
2005,1,33,1,1,4,3,170
2020,1,48,1,1,4,7,260
2000,1,30,1,1,4,7,100
2000,1,30,1,2,5,17,115
2005,1,35,1,2,5,17,220
2010,1,40,1,2,5,16,300
2015,1,45,1,2,5,16,400
2020,1,50,1,2,5,16,300
2000,1,23,2,2,3,11,100
2005,1,28,2,2,3,11,290
2010,1,33,2,2,3,11,385
2015,1,38,2,2,3,11,400
2020,1,43,2,2,3,11,540
2005,11,35,1,2,3,8,218
2005,1,62,2,3,2,7,100
2010,1,67,2,3,2,7,100
2005,1,39,2,2,3,9,40
2010,1,44,2,2,3,16,80
2005,1,51,1,2,3,19,166
2010,1,56,1,2,3,8,140
2015,1,61,1,2,3,8,160
2020,1,66,1,2,3,8,300
2000,1,44,2,2,2,3,70
2010,1,54,2,2,2,3,30
2010,1,26,2,1,5,16,40
2020,1,36,2,1,5,17,300
2015,1,28,1,1,4,11,130
2005,1,26,1,1,3,12,200
2000,1,37,1,3,2,3,130
2010,1,41,2,1,5,7,70
2015,1,46,2,1,5,7,145
2020,1,51,2,1,5,7,200
2010,1,52,1,2,3,6,250
2015,1,57,1,2,3,6,350
2020,1,62,1,2,3,6,300
2005,1,48,2,2,3,20,140
2010,1,53,2,2,3,7,108
2015,1,58,2,2,3,7,150
2020,1,63,2,2,3,7,70
2010,1,25,1,1,4,19,170
2020,8,35,1,2,4,19,300
2015,1,26,1,1,5,4,230
2000,5,28,1,1,5,10,102
2000,5,25,2,1,5,16,103
2005,5,30,2,2,5,16,180
2000,1,31,1,1,5,4,230
2000,1,27,2,1,3,3,85
2000,1,32,1,1,5,15,110
2005,1,37,1,2,5,15,280
2010,1,42,1,2,5,15,350
2015,1,47,1,2,5,15,500
2020,1,52,1,2,5,15,500
2000,1,36,2,2,4,16,60
2005,4,41,2,2,4,17,90
2000,1,55,2,2,1,12,40
2005,1,60,2,2,1,12,60
2000,8,32,1,2,3,7,150
2005,1,37,1,2,3,7,100
2000,8,30,2,2,3,18,65
2005,1,35,2,2,5,18,125
2010,1,40,2,2,5,3,180
2015,1,45,2,2,5,3,220
2020,1,50,2,2,5,3,180
2020,1,21,2,1,4,13,200
2015,1,49,1,2,5,7,323
2020,1,54,1,2,5,7,380
2010,1,42,2,2,4,17,200
2015,1,47,2,2,4,17,340
2020,1,52,2,2,4,17,330
2000,1,53,1,2,3,15,180
2020,1,73,1,2,3,6,200
2000,1,51,2,2,3,11,100
2005,1,56,2,2,3,18,40
2010,1,61,2,2,3,18,50
2010,1,36,2,1,5,16,200
2015,1,41,2,1,5,16,210
2020,1,46,2,1,5,16,120
2000,1,24,2,1,4,13,150
2005,1,29,2,2,4,18,236
2010,1,34,2,2,4,18,240
2015,1,39,2,2,4,18,50
2020,1,44,2,2,4,18,200
2015,9,36,2,2,4,17,250
2000,1,27,1,1,4,12,100
2000,1,48,1,2,5,9,100
2000,1,56,1,2,2,6,120
2000,1,27,2,1,3,7,100
2000,1,24,2,1,3,7,90
2000,1,47,1,2,3,11,300
2005,8,52,1,2,3,11,800
2005,8,25,1,1,4,18,130
2000,1,19,1,1,4,12,10
2000,1,51,1,2,5,16,390
2005,1,56,1,2,5,16,200
2000,1,47,2,2,3,16,60
2005,1,26,1,1,5,13,170
2010,1,31,1,2,5,13,350
2015,1,36,1,2,5,13,360
2020,1,41,1,2,5,13,380
2020,1,39,1,3,5,3,300
2005,1,46,2,2,3,18,100
2015,8,56,2,3,3,3,160
2000,1,18,2,1,2,9,25
2005,1,23,2,1,3,18,150
2010,1,27,1,1,5,3,100
2020,1,37,1,1,5,3,458
2010,1,23,2,1,4,18,100
2020,8,52,1,2,5,13,400
2000,1,44,1,2,3,12,200
2005,1,49,1,2,3,12,300
2010,1,29,2,1,5,16,220
2010,1,26,2,1,4,10,120
2020,1,31,2,2,4,17,300
2005,1,39,2,2,3,11,100
2010,1,44,2,2,3,17,100
2015,1,49,2,2,3,7,119
2020,1,54,2,2,3,7,185
2020,1,23,2,1,4,17,200
2005,1,39,1,2,3,5,228
2000,1,51,1,2,2,8,90
2005,1,56,1,2,2,8,80
2010,1,61,1,2,2,8,100
2015,1,66,1,2,2,12,130
2010,1,56,2,2,2,9,60
2010,1,31,2,1,4,18,200
2010,1,44,2,2,2,9,100
2015,1,49,2,2,2,9,120
2020,1,54,2,2,2,9,250
2015,1,24,2,1,4,11,140
2020,1,29,2,1,4,7,300
2020,1,26,2,1,5,17,300
2000,1,37,2,2,3,3,60
2005,1,42,2,3,3,3,100
2010,1,47,2,3,3,9,100
2015,8,52,2,3,3,14,129
2015,8,27,1,1,4,10,149
2020,8,32,1,1,4,10,220
2015,1,59,1,2,3,8,150
2010,1,54,2,2,2,3,180
2015,1,59,2,2,2,3,200
2020,1,40,1,2,5,4,700
2015,1,33,2,2,5,4,250
2005,8,39,1,1,3,6,125
2010,8,44,1,1,3,12,80
2000,1,62,2,2,2,15,55
2010,8,39,2,2,3,3,100
2020,8,49,2,3,3,3,180
2000,1,36,1,2,2,3,180
2000,1,25,2,1,3,3,80
2010,8,51,2,1,2,3,100
2010,8,47,1,2,3,3,80
2015,8,52,1,2,3,3,30
2000,1,37,1,1,2,3,80
2005,8,42,1,2,2,3,190
2010,8,47,1,2,2,6,80
2015,8,52,1,2,2,3,30
2000,1,34,1,1,2,3,60
2005,8,39,1,1,2,3,110
2010,8,44,1,1,2,3,70
2010,8,47,2,2,2,9,100
2015,8,52,2,2,2,9,30
2010,8,20,1,1,4,18,90
2010,8,25,2,1,4,16,120
2015,1,55,2,2,2,18,65
2020,1,60,2,2,2,18,130
2010,1,55,1,2,2,3,200
2020,8,65,1,2,2,3,200
2010,1,52,2,2,2,7,90
2005,1,22,2,1,4,7,90
2005,5,34,1,2,5,16,240
2010,5,39,1,2,5,3,300
2020,7,49,1,2,5,3,380
2000,1,21,2,1,3,9,68
2000,1,51,2,3,2,20,100
2005,1,56,2,3,2,20,50
2000,1,52,1,2,2,15,60
2005,1,57,1,2,2,15,147
2010,1,62,1,2,2,15,100
2000,1,48,2,2,2,9,25
2000,1,24,2,1,4,8,130
2000,1,22,2,1,3,16,60
2020,8,62,1,2,3,8,150
2020,8,59,2,2,3,17,240
2015,8,27,1,1,5,7,100
2015,1,25,2,1,5,10,250
2020,1,30,2,2,5,7,350
2000,1,34,1,2,3,8,115
2005,1,39,1,2,3,8,200
2010,1,44,1,2,3,8,145
2020,1,20,2,1,4,9,30
2000,1,46,1,2,5,16,150
2005,1,51,1,2,5,16,395
2010,1,56,1,2,5,16,350
2010,1,52,2,2,4,18,190
2015,1,57,2,2,4,18,300
2020,1,62,2,2,4,18,280
2015,15,29,1,2,5,6,320
2020,1,34,1,2,5,6,500
2000,1,36,2,1,5,3,15
2000,1,29,1,1,4,13,110
2000,1,48,1,2,3,3,100
2005,1,53,1,2,3,12,113
2010,8,58,1,2,3,12,120
2015,8,63,1,2,3,12,140
2000,1,44,2,2,3,18,80
2000,1,19,2,1,4,9,45
2005,1,24,2,1,5,3,30
2010,1,34,1,1,3,7,150
2015,8,39,1,2,3,3,700
2020,8,44,1,2,3,10,600
2000,1,40,1,1,3,6,70
2005,1,43,2,3,3,15,24
2000,1,55,1,2,4,8,72
2005,1,60,1,2,4,8,83
2015,16,70,1,3,4,12,100
2005,1,35,1,2,5,17,130
2000,1,34,1,2,3,6,250
2005,1,39,1,2,3,6,400
2010,1,44,1,2,3,6,430
2015,1,49,1,2,3,6,400
2020,1,54,1,2,3,6,150
2010,1,42,2,2,3,17,55
2015,1,47,2,2,3,17,69
2000,1,24,1,1,3,4,50
2005,1,29,1,1,3,4,200
2010,1,31,1,2,3,4,250
2015,1,36,1,2,3,4,320
2020,8,41,1,2,3,4,370
2000,1,34,2,2,3,3,62
2020,8,54,2,2,3,8,100
2000,1,53,1,3,4,21,110
2000,1,23,1,1,3,6,125
2005,1,60,1,2,2,6,150
2010,1,65,1,2,2,6,80
2015,1,70,1,2,2,6,120
2000,1,50,2,2,2,3,70
2005,1,55,2,2,2,7,53
2005,1,29,1,1,4,9,130
2005,1,26,2,1,5,16,130
2000,1,42,1,2,2,6,48
2005,1,47,1,2,2,6,100
2010,1,52,1,2,2,6,170
2010,1,48,2,2,2,14,100
2000,1,19,2,1,3,3,70
2005,1,24,2,1,3,7,90
2000,1,49,1,2,3,7,70
2005,1,54,1,2,3,7,100
2000,1,21,2,1,3,3,70
2005,1,26,2,1,4,3,190
2010,1,31,2,2,4,3,250
2015,1,36,2,2,4,3,250
2020,1,41,2,2,4,3,330
2000,1,17,2,1,3,7,65
2005,1,22,2,1,4,7,160
2010,1,27,2,1,4,7,150
2015,1,32,2,2,4,7,200
2020,1,37,2,2,4,7,230
2010,1,26,2,1,5,18,150
2015,1,31,2,1,5,18,250
2000,1,34,1,2,5,3,300
2005,1,39,1,2,5,10,520
2015,1,49,1,2,5,3,370
2020,1,54,1,2,5,3,400
2015,1,46,2,2,5,16,180
2020,1,51,2,2,5,16,200
2010,1,30,2,1,4,17,140
2020,1,40,2,2,5,3,280
2000,1,51,1,2,2,5,117
2005,1,56,1,2,2,5,180
2010,1,61,1,3,2,5,200
2000,1,49,2,2,2,3,80
2010,9,37,2,2,5,16,250
2015,9,42,2,2,5,16,200
2000,1,22,1,1,4,7,60
2005,1,27,1,1,5,13,150
2010,1,32,1,1,5,3,250
2015,8,37,1,2,5,3,300
2020,8,42,1,2,5,3,480
2015,1,27,2,1,5,17,158
2020,1,32,2,1,5,17,160
2000,8,37,1,2,5,15,170
2005,8,42,1,2,5,15,246
2000,8,35,2,2,4,13,30
2005,8,40,2,2,4,17,70
2000,1,21,2,1,4,14,100
2000,1,21,2,1,4,14,100
2010,1,46,2,2,3,16,96
2015,1,51,2,2,3,16,151
2020,8,56,2,2,3,16,200
2015,1,24,2,1,5,3,267
2005,8,50,2,2,2,16,60
2010,8,55,2,2,2,20,120
2015,8,60,2,3,2,20,130
2020,1,65,2,3,2,20,70
2020,16,40,1,2,5,10,700
2010,8,26,1,1,4,7,80
2015,8,31,1,1,4,3,130
2020,1,36,1,1,4,7,160
2000,8,34,1,2,2,6,79
2010,8,44,1,2,2,6,210
2015,8,49,1,2,2,6,250
2020,8,54,1,2,2,6,220
2015,8,46,2,2,2,17,130
2020,8,51,2,2,2,17,180
2000,1,58,1,2,2,6,180
2005,1,63,1,2,2,6,120
2010,1,52,2,3,2,9,120
2015,1,57,2,3,2,9,100
2020,1,62,2,3,2,14,30
2010,1,29,1,1,4,7,150
2015,1,34,1,1,4,7,180
