year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage,pid
2010,1,34,2,2,4,18,240,15705
2015,1,39,2,2,4,18,50,15705
2020,1,44,2,2,4,18,200,15705
2015,9,36,2,2,4,17,250,15706
2000,1,27,1,1,4,12,100,15803
2000,1,48,1,2,5,9,100,16001
2000,1,56,1,2,2,6,120,16101
2000,1,27,2,1,3,7,100,16104
2000,1,24,2,1,3,7,90,16105
2000,1,47,1,2,3,11,300,16301
2005,8,52,1,2,3,11,800,16301
2005,8,25,1,1,4,18,130,16303
2000,1,19,1,1,4,12,10,16304
2000,1,51,1,2,5,16,390,16401
2005,1,56,1,2,5,16,200,16401
2000,1,47,2,2,3,16,60,16402
2005,1,26,1,1,5,13,170,16403
2010,1,31,1,2,5,13,350,16403
2015,1,36,1,2,5,13,360,16403
2020,1,41,1,2,5,13,380,16403
2020,1,39,1,3,5,3,300,16404
2005,1,46,2,2,3,18,100,16502
2015,8,56,2,3,3,3,160,16502
2000,1,18,2,1,2,9,25,16504
2005,1,23,2,1,3,18,150,16504
2010,1,27,1,1,5,3,100,16603
2020,1,37,1,1,5,3,458,16603
2010,1,23,2,1,4,18,100,16604
2020,8,52,1,2,5,13,400,16703
2000,1,44,1,2,3,12,200,16801
2005,1,49,1,2,3,12,300,16801
2010,1,29,2,1,5,16,220,16803
2010,1,26,2,1,4,10,120,16804
2020,1,31,2,2,4,17,300,16805
2005,1,39,2,2,3,11,100,17002
2010,1,44,2,2,3,17,100,17002
2015,1,49,2,2,3,7,119,17002
2020,1,54,2,2,3,7,185,17002
2020,1,23,2,1,4,17,200,17004
2005,1,39,1,2,3,5,228,17102
2000,1,51,1,2,2,8,90,17201
2005,1,56,1,2,2,8,80,17201
2010,1,61,1,2,2,8,100,17201
2015,1,66,1,2,2,12,130,17201
2010,1,56,2,2,2,9,60,17202
2010,1,31,2,1,4,18,200,17204
2010,1,44,2,2,2,9,100,17302
2015,1,49,2,2,2,9,120,17302
2020,1,54,2,2,2,9,250,17302
2015,1,24,2,1,4,11,140,17303
2020,1,29,2,1,4,7,300,17303
2020,1,26,2,1,5,17,300,17304
2000,1,37,2,2,3,3,60,17402
2005,1,42,2,3,3,3,100,17402
2010,1,47,2,3,3,9,100,17402
2015,8,52,2,3,3,14,129,17402
2015,8,27,1,1,4,10,149,17403
2020,8,32,1,1,4,10,220,17403
2015,1,59,1,2,3,8,150,17501
2010,1,54,2,2,2,3,180,17502
2015,1,59,2,2,2,3,200,17502
2020,1,40,1,2,5,4,700,17503
2015,1,33,2,2,5,4,250,17504
2005,8,39,1,1,3,6,125,17601
2010,8,44,1,1,3,12,80,17601
2000,1,62,2,2,2,15,55,17603
2010,8,39,2,2,3,3,100,17604
2020,8,49,2,3,3,3,180,17604
2000,1,36,1,2,2,3,180,17701
2000,1,25,2,1,3,3,80,17704
2010,8,51,2,1,2,3,100,17901
2010,8,47,1,2,3,3,80,17902
2015,8,52,1,2,3,3,30,17902
2000,1,37,1,1,2,3,80,17903
2005,8,42,1,2,2,3,190,17903
2010,8,47,1,2,2,6,80,17903
2015,8,52,1,2,2,3,30,17903
2000,1,34,1,1,2,3,60,17904
2005,8,39,1,1,2,3,110,17904
2010,8,44,1,1,2,3,70,17904
2010,8,47,2,2,2,9,100,17905
2015,8,52,2,2,2,9,30,17905
2010,8,20,1,1,4,18,90,17908
2010,8,25,2,1,4,16,120,17909
2015,1,55,2,2,2,18,65,18102
2020,1,60,2,2,2,18,130,18102
2010,1,55,1,2,2,3,200,18201
2020,8,65,1,2,2,3,200,18201
2010,1,52,2,2,2,7,90,18202
2005,1,22,2,1,4,7,90,18203
2005,5,34,1,2,5,16,240,18303
2010,5,39,1,2,5,3,300,18303
2020,7,49,1,2,5,3,380,18303
2000,1,21,2,1,3,9,68,18403
2000,1,51,2,3,2,20,100,18501
2005,1,56,2,3,2,20,50,18501
2000,1,52,1,2,2,15,60,18601
2005,1,57,1,2,2,15,147,18601
2010,1,62,1,2,2,15,100,18601
2000,1,48,2,2,2,9,25,18602
2000,1,24,2,1,4,8,130,18604
2000,1,22,2,1,3,16,60,18605
2020,8,62,1,2,3,8,150,18701
2020,8,59,2,2,3,17,240,18702
2015,8,27,1,1,5,7,100,18703
2015,1,25,2,1,5,10,250,18704
2020,1,30,2,2,5,7,350,18704
2000,1,34,1,2,3,8,115,18801
2005,1,39,1,2,3,8,200,18801
2010,1,44,1,2,3,8,145,18801
2020,1,20,2,1,4,9,30,18806
